doc_id,fuel_code_candidate,missing_field,source_likely_has_field,html_exists,event_date_raw,parse_status,missing_fields
90c5209410d3139e,RON95_III,bog_contribution_raw,True,True,16/4/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
90c5209410d3139e,RON95_III,bog_spending_raw,True,True,16/4/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
7090572f802d5049,RON95_III,bog_contribution_raw,True,True,09/4/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
7090572f802d5049,RON95_III,bog_spending_raw,True,True,09/4/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
896e0a3f91d55e45,DIESEL,bog_contribution_raw,True,True,08/4/2026,parsed_partial,bog_contribution_raw
896e0a3f91d55e45,E5RON92,bog_contribution_raw,True,True,08/4/2026,parsed_partial,bog_contribution_raw
896e0a3f91d55e45,MAZUT,bog_contribution_raw,True,True,08/4/2026,parsed_partial,bog_contribution_raw
896e0a3f91d55e45,RON95_III,bog_contribution_raw,True,True,08/4/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
896e0a3f91d55e45,RON95_III,bog_spending_raw,True,True,08/4/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
5038f03bf8420274,RON95_III,bog_contribution_raw,True,True,07/3/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
5038f03bf8420274,RON95_III,bog_spending_raw,True,True,07/3/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
cd334f1809ca70cb,RON95_III,bog_contribution_raw,True,True,05/3/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
cd334f1809ca70cb,RON95_III,bog_spending_raw,True,True,05/3/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
f7f6307c25f1bd85,RON95_III,bog_contribution_raw,True,True,26/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
f7f6307c25f1bd85,RON95_III,bog_spending_raw,True,True,26/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
bf9489af04f85357,RON95_III,bog_contribution_raw,True,True,20/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
bf9489af04f85357,RON95_III,bog_spending_raw,True,True,20/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
4140a899a2cfcefd,RON95_III,bog_contribution_raw,True,True,12/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
4140a899a2cfcefd,RON95_III,bog_spending_raw,True,True,12/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
6809720dbebd9a21,RON95_III,bog_contribution_raw,True,True,05/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
6809720dbebd9a21,RON95_III,bog_spending_raw,True,True,05/02/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
48cea29f6701993d,RON95_III,bog_contribution_raw,True,True,29/01/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
48cea29f6701993d,RON95_III,bog_spending_raw,True,True,29/01/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
a874d5794c21461f,RON95_III,bog_contribution_raw,True,True,22/01/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
a874d5794c21461f,RON95_III,bog_spending_raw,True,True,22/01/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
7ceb92855164dccc,RON95_III,bog_contribution_raw,True,True,08/01/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
7ceb92855164dccc,RON95_III,bog_spending_raw,True,True,08/01/2026,parsed_partial,bog_contribution_raw;bog_spending_raw
84b6eb81c9fa9228,RON95_III,bog_contribution_raw,True,True,31/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
84b6eb81c9fa9228,RON95_III,bog_spending_raw,True,True,31/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
cd990b5d4e95df0e,RON95_III,bog_contribution_raw,True,True,25/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
cd990b5d4e95df0e,RON95_III,bog_spending_raw,True,True,25/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
52ca854df47d6ca2,RON95_III,bog_contribution_raw,True,True,18/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
52ca854df47d6ca2,RON95_III,bog_spending_raw,True,True,18/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
cf4043b38fa0a377,RON95_III,bog_contribution_raw,True,True,11/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
