date,vcb_sell
23-10-2020,23270.0
24-10-2020,23270.0
25-10-2020,23270.0
26-10-2020,23270.0
27-10-2020,23270.0
28-10-2020,23270.0
29-10-2020,23270.0
30-10-2020,23270.0
31-10-2020,23270.0
01-11-2020,23270.0
02-11-2020,23270.0
03-11-2020,23270.0
04-11-2020,23270.0
05-11-2020,23270.0
06-11-2020,23270.0
07-11-2020,23270.0
08-11-2020,23270.0
09-11-2020,23270.0
10-11-2020,23270.0
11-11-2020,23270.0
12-11-2020,23270.0
13-11-2020,23270.0
14-11-2020,23270.0
15-11-2020,23270.0
16-11-2020,23265.0
17-11-2020,23260.0
18-11-2020,23270.0
19-11-2020,23270.0
20-11-2020,23265.0
21-11-2020,23265.0
22-11-2020,23265.0
23-11-2020,23240.0
24-11-2020,23250.0
25-11-2020,23250.0
26-11-2020,23260.0
27-11-2020,23260.0
28-11-2020,23260.0
29-11-2020,23260.0
30-11-2020,23230.0
01-12-2020,23230.0
02-12-2020,23230.0
03-12-2020,23230.0
04-12-2020,23220.0
05-12-2020,23220.0
06-12-2020,23220.0
07-12-2020,23220.0
08-12-2020,23220.0
09-12-2020,23220.0
10-12-2020,23220.0
11-12-2020,23220.0
12-12-2020,23220.0
13-12-2020,23220.0
14-12-2020,23220.0
15-12-2020,23220.0
16-12-2020,23220.0
17-12-2020,23220.0
18-12-2020,23220.0
19-12-2020,23220.0
20-12-2020,23220.0
21-12-2020,23220.0
22-12-2020,23220.0
23-12-2020,23220.0
24-12-2020,23220.0
25-12-2020,23220.0
26-12-2020,23220.0
27-12-2020,23220.0
28-12-2020,23220.0
29-12-2020,23220.0
30-12-2020,23190.0
31-12-2020,23215.0
01-01-2021,23215.0
02-01-2021,23215.0
03-01-2021,23215.0
04-01-2021,23190.0
05-01-2021,23190.0
06-01-2021,23190.0
07-01-2021,23170.0
08-01-2021,23150.0
09-01-2021,23150.0
10-01-2021,23150.0
11-01-2021,23160.0
12-01-2021,23160.0
13-01-2021,23160.0
14-01-2021,23160.0
15-01-2021,23160.0
16-01-2021,23160.0
17-01-2021,23160.0
18-01-2021,23160.0
19-01-2021,23160.0
20-01-2021,23165.0
21-01-2021,23165.0
22-01-2021,23165.0
23-01-2021,23165.0
24-01-2021,23165.0
25-01-2021,23165.0
26-01-2021,23160.0
27-01-2021,23160.0
28-01-2021,23150.0
29-01-2021,23140.0
30-01-2021,23140.0
31-01-2021,23140.0
01-02-2021,23130.0
02-02-2021,23110.0
03-02-2021,23120.0
04-02-2021,23110.0
05-02-2021,23090.0
06-02-2021,23090.0
07-02-2021,23090.0
08-02-2021,23060.0
09-02-2021,23090.0
10-02-2021,23090.0
11-02-2021,23090.0
12-02-2021,23090.0
13-02-2021,23090.0
14-02-2021,23090.0
15-02-2021,23090.0
16-02-2021,23090.0
17-02-2021,23090.0
18-02-2021,23090.0
19-02-2021,23105.0
20-02-2021,23105.0
21-02-2021,23105.0
22-02-2021,23110.0
23-02-2021,23120.0
24-02-2021,23120.0
25-02-2021,23110.0
26-02-2021,23100.0
27-02-2021,23100.0
28-02-2021,23100.0
01-03-2021,23110.0
02-03-2021,23120.0
03-03-2021,23120.0
04-03-2021,23110.0
05-03-2021,23125.0
06-03-2021,23125.0
07-03-2021,23125.0
08-03-2021,23140.0
09-03-2021,23140.0
10-03-2021,23140.0
11-03-2021,23140.0
12-03-2021,23140.0
13-03-2021,23140.0
14-03-2021,23140.0
15-03-2021,23170.0
16-03-2021,23165.0
17-03-2021,23160.0
18-03-2021,23160.0
19-03-2021,23160.0
20-03-2021,23160.0
21-03-2021,23160.0
22-03-2021,23170.0
23-03-2021,23170.0
24-03-2021,23170.0
25-03-2021,23190.0
26-03-2021,23175.0
27-03-2021,23175.0
28-03-2021,23175.0
29-03-2021,23160.0
30-03-2021,23160.0
31-03-2021,23170.0
01-04-2021,23170.0
02-04-2021,23160.0
03-04-2021,23160.0
04-04-2021,23160.0
05-04-2021,23160.0
06-04-2021,23180.0
07-04-2021,23180.0
08-04-2021,23180.0
09-04-2021,23160.0
10-04-2021,23160.0
11-04-2021,23160.0
12-04-2021,23160.0
13-04-2021,23160.0
14-04-2021,23160.0
15-04-2021,23160.0
16-04-2021,23160.0
17-04-2021,23160.0
18-04-2021,23160.0
19-04-2021,23165.0
20-04-2021,23170.0
21-04-2021,23170.0
22-04-2021,23165.0
23-04-2021,23155.0
24-04-2021,23155.0
25-04-2021,23155.0
26-04-2021,23150.0
27-04-2021,23140.0
28-04-2021,23140.0
29-04-2021,23140.0
30-04-2021,23140.0
01-05-2021,23140.0
02-05-2021,23140.0
03-05-2021,23140.0
04-05-2021,23150.0
05-05-2021,23150.0
06-05-2021,23150.0
07-05-2021,23160.0
08-05-2021,23160.0
09-05-2021,23160.0
10-05-2021,23150.0
11-05-2021,23160.0
12-05-2021,23160.0
13-05-2021,23140.0
14-05-2021,23150.0
15-05-2021,23150.0
16-05-2021,23150.0
17-05-2021,23140.0
18-05-2021,23150.0
19-05-2021,23150.0
20-05-2021,23150.0
21-05-2021,23150.0
22-05-2021,23150.0
23-05-2021,23150.0
24-05-2021,23160.0
25-05-2021,23160.0
26-05-2021,23160.0
27-05-2021,23140.0
28-05-2021,23140.0
29-05-2021,23140.0
30-05-2021,23140.0
31-05-2021,23145.0
01-06-2021,23145.0
02-06-2021,23145.0
