title,report_date,detail_url,bog_petrolimex
Ước tồn Quỹ BOG tại Petrolimex ngày 22.01.2026,22.01.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-22-01-2026.html,3.087 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 15.01.2026,15.01.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-15-01-2026.html,3.087 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 08.01.2026,08.01.2026,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-08-01-2026.html,3.087 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 31.12.2025,31.12.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-31-12-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 25.12.2025,25.12.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-25-12-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 18.12.2025,18.12.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-18-12-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 11.12.2025,11.12.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-11-12-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 04.12.2025,04.12.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-04-12-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 27.11.2025,27.11.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-27-11-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 20.11.2025,20.11.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-20-11-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 13.11.2025,13.11.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-13-11-2025.html,3.086 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 06.11.2025,06.11.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-06-11-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 30.10.2025,30.10.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-30-10-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 23.10.2025,23.10.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-23-10-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 16.10.2025,16.10.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-16-10-2025.html,3.085 tỷ đồng
