crawl_date,detail_url,title,report_date,post_date,is_parsed
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06112025,Báo cáo quỹ bình ổn giá xăng dầu ngày 06/11/2025,06/11/2025,06.11.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-30102025,Báo cáo quỹ bình ổn giá xăng dầu ngày 30/10/2025,30/10/2025,30.10.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23102025,Báo cáo quỹ bình ổn giá xăng dầu ngày 23/10/2025,23/10/2025,23.10.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16102025,Báo cáo quỹ bình ổn giá xăng dầu ngày 16/10/2025,16/10/2025,16.10.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09102025,Báo cáo quỹ bình ổn giá xăng dầu ngày 09/10/2025,09/10/2025,09.10.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02102025,Báo cáo quỹ bình ổn giá xăng dầu ngày 02/10/2025,02/10/2025,02.10.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2592025,Báo cáo quỹ bình ổn giá xăng dầu ngày 25/9/2025,25/9/2025,25.09.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1892025,Báo cáo quỹ bình ổn giá xăng dầu ngày 18/9/2025,18/9/2025,18.09.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1192025,Báo cáo quỹ bình ổn giá xăng dầu ngày 11/9/2025,11/9/2025,11.09.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0492025,Báo cáo quỹ bình ổn giá xăng dầu ngày 04/9/2025,04/9/2025,04.09.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2882025,Báo cáo quỹ bình ổn giá xăng dầu ngày 28/8/2025,28/8/2025,28.08.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2182025,Báo cáo quỹ bình ổn giá xăng dầu ngày 21/8/2025,21/8/2025,21.08.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1482025,Báo cáo quỹ bình ổn giá xăng dầu ngày 14/8/2025,14/8/2025,14.08.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0782025,Báo cáo quỹ bình ổn giá xăng dầu ngày 07/8/2025,07/8/2025,07.08.2025,1
